referenz;massnahme;beschreibung;lr1;lr2;lr3;lr4;lr5
1.08.02;unbewirtschafteter Gewässerrandstreifen;1.08.02 unbewirtschafteter Gewässerrandstreifen;0;0;1;1;0
1.08.03;Bodenschonender Ackerbau;1.08.03 Bodenschonender Ackerbau;0;0;1;1;1
1.08.04;Umwandlung Acker in Grünland;1.08.04 Umwandlung Acker in Grünland;0;0;1;1;1
1.08.06;morphologische Veränderung von Eintragsbahnen (Verlegung, Rückstaue);1.08.06 morphologische Veränderung von Eintragsbahnen (Verlegung, Rückstaue);0;1;0;0;0
1.08.07;Anlage von Pufferstreifen/-flächen ;1.08.07 Anlage von Pufferstreifen/-flächen ;1;0;1;1;1
1.09;Unterbinden von Einleitungen;1.09 Unterbinden von Einleitungen;0;0;1;1;0
1.10;Abwasserklärung im Einzugsgebiet;1.10 Abwasserklärung im Einzugsgebiet;0;0;1;1;0
1.11;Verminderung der Grundwasserentnahme;1.11 Verminderung der Grundwasserentnahme;0;0;1;1;1
1.12;Sicherung einer Mindestwassermenge in Ausleitungsstrecken;1.12 Sicherung einer Mindestwassermenge in Ausleitungsstrecken;0;0;0;1;0
1.13;Beseitigung von Viehtränken;1.13 Beseitigung von Viehtränken;0;0;1;1;1
1.14;Auszäunung sensibler Bereiche bzw. der LRT-Fläche;1.14 Auszäunung sensibler Bereiche bzw. der LRT-Fläche;0;0;1;1;1
1.15;Reduzierung des (Schwarz-)Wildbestandes;1.15 Reduzierung des (Schwarz-)Wildbestandes;1;0;1;0;1
1.16;Horstschutzzone;1.16 Horstschutzzone;1;0;1;0;0
1.17;Verlagerung jagdlicher Einrichtungen;1.17 Verlagerung jagdlicher Einrichtungen;1;0;0;0;1
1.18;Wegsperrung;1.18 Wegsperrung;1;1;1;1;1
1.19;Bewachung;1.19 Bewachung;1;0;1;0;0
1.20;Sonstige Verminderung von Beeinträchtigungen (bitte erläutern);1.20 Sonstige Verminderung von Beeinträchtigungen (bitte erläutern);1;1;1;1;1 
2.01.01;Belassen von Brach- und Saumstreifen;2.01.01 Belassen von Brach- und Saumstreifen;0;0;0;0;1
2.01.02;Pferchen außerhalb der Fläche oder hangabwärts;2.01.02 Pferchen außerhalb der Fläche oder hangabwärts;0;0;0;0;1
2.01.03;Anpassung der Besatzdichte (bitte erläutern);2.01.03 Anpassung der Besatzdichte (bitte erläutern);0;0;0;0;1
2.01.04;Hoch angesetzter Grasschnitt (i. d. R. ≥7 cm);2.01.04 Hoch angesetzter Grasschnitt (i. d. R. ≥7 cm);0;0;0;0;1
2.01.05;Aushagerung (zeitweilig erhöhte Schnitthäufigkeit/Beweidungsintensität ohne Düngung);2.01.05 Aushagerung (zeitweilig erhöhte Schnitthäufigkeit/Beweidungsintensität ohne Düngung);0;0;0;0;1
2.01.06 ;Mahdgutübertragung;2.01.06  Mahdgutübertragung;0;0;0;0;1
2.01.07;Belassen des Mahdgutes auf der Fläche für mehrere Tage;2.01.07 Belassen des Mahdgutes auf der Fläche für mehrere Tage;0;0;0;0;1
2.01.08;Keine dauerhafte Mahdgutablagerung auf oder im Umfeld der Fläche;2.01.08 Keine dauerhafte Mahdgutablagerung auf oder im Umfeld der Fläche;0;0;0;1;1
2.01.09;Einsatz bodenschonender Technik;2.01.09 Einsatz bodenschonender Technik;0;0;0;0;1
2.01.10;Verwendung tierschonender Mahdtechnik;2.01.10 Verwendung tierschonender Mahdtechnik;0;0;0;0;1
2.01.11;Schaffung kleinflächiger vegetationsoffener Bereiche;2.01.11 Schaffung kleinflächiger vegetationsoffener Bereiche;0;0;0;0;1
2.01.12;Plaggen/flächiges Abschieben von Oberboden;2.01.12 Plaggen/flächiges Abschieben von Oberboden;0;0;0;0;1
2.01.13;Kontrolliertes Brennen/Flämmen;2.01.13 Kontrolliertes Brennen/Flämmen;0;0;0;0;1
2.01.14;Mahd mit Kleintechnik;2.01.14 Mahd mit Kleintechnik;0;0;0;0;1
2.01.14.01;Handmahd (Sense, Freischneider…);2.01.14.01 Handmahd (Sense, Freischneider…);0;0;0;0;1
2.01.14.02;Mahd mit Einachsmäher/handgeführtem Balkenmäher;2.01.14.02 Mahd mit Einachsmäher/handgeführtem Balkenmäher;0;0;0;0;1
2.01.15.01;Mahd, Nachbeweidung möglich;2.01.15.01 Mahd, Nachbeweidung möglich;0;0;0;0;1
2.01.15.02;Mahd ohne Nachbeweidung;2.01.15.02 Mahd ohne Nachbeweidung;0;0;0;0;1
2.01.15.03;Beweidung;2.01.15.03 Beweidung;0;0;0;0;1
2.01.15.04;Alternativ Mahd und/oder Beweidung;2.01.15.04 Alternativ Mahd und/oder Beweidung;0;0;0;0;1
2.01.15.05;Keine regelmäßige Nutzung/Pflege;2.01.15.05 Keine regelmäßige Nutzung/Pflege;0;0;0;0;1
2.01.16.01;Staffelmahd/Mahd nur in Teilbereichen (bitte erläutern);2.01.16.01 Staffelmahd/Mahd nur in Teilbereichen (bitte erläutern);0;0;0;0;1
2.01.16.02;Selektive Mahd (bitte erläutern);2.01.16.02 Selektive Mahd (bitte erläutern);0;0;0;0;1
2.01.16.03;Nutzungspause (> 6-8 Wochen);2.01.16.03 Nutzungspause (> 6-8 Wochen);0;0;0;0;1
2.01.16.04;Nutzungspause (ca. 12 Wochen);2.01.16.04 Nutzungspause (ca. 12 Wochen);0;0;0;0;1
2.01.16.05;"spezielle Mahdmuster (z. B. von innen nach außen; bitte erläutern)";"2.01.16.05 spezielle Mahdmuster (z. B. von innen nach außen; bitte erläutern)";0;0;0;0;1
2.01.16.06;Keine Vorgabe zur Form der Mahd;2.01.16.06 Keine Vorgabe zur Form der Mahd;0;0;0;0;1
2.01.16.07;Nutzungspause (ca. 15 Wochen);2.01.16.07 Nutzungspause (ca. 15 Wochen);0;0;0;0;1
2.01.22.01;1-schürig;2.01.22.01 1-schürig;0;0;0;0;1
2.01.22.02;1- bis 2-schürig;2.01.22.02 1- bis 2-schürig;0;0;0;0;1
2.01.22.03;2-schürig;2.01.22.03 2-schürig;0;0;0;0;1
2.01.22.04;2- bis 3-schürig;2.01.22.04 2- bis 3-schürig;0;0;0;0;1
2.01.22.05;3-schürig;2.01.22.05 3-schürig;0;0;0;0;1
2.01.22.06;Mahd alle 1 bis 3 Jahre;2.01.22.06 Mahd alle 1 bis 3 Jahre;0;0;0;0;1
2.01.22.07;Mahd bei Bedarf in mehrjährigen Abständen;2.01.22.07 Mahd bei Bedarf in mehrjährigen Abständen;0;0;0;0;1
2.01.17.01;Nur Schafe/Ziegen;2.01.17.01 Nur Schafe/Ziegen;0;0;0;0;1
2.01.17.04;Nur Rinder/Schafe/Ziegen;2.01.17.04 Nur Rinder/Schafe/Ziegen;0;0;0;0;1
2.01.17.02;Andere Beschränkung Weidevieh (bitte erläutern);2.01.17.02 Andere Beschränkung Weidevieh (bitte erläutern);0;0;0;0;1
2.01.17.03;Keine Vorgabe zu Weidetierarten;2.01.17.03 Keine Vorgabe zu Weidetierarten;0;0;0;0;1
2.01.17.05;Vorgaben zur Art der Weidetierhaltung (Stand-, Hüte-, Umtriebs-, Triftweide);2.01.17.05 Vorgaben zur Art der Weidetierhaltung (Stand-, Hüte-, Umtriebs-, Triftweide);0;0;0;0;1
2.01.18.01;Erster Nutzungstermin bis Ende Mai;2.01.18.01 Erster Nutzungstermin bis Ende Mai;0;0;0;0;1
2.01.18.02;Frühester Nutzungstermin ab 1. Juni;2.01.18.02 Frühester Nutzungstermin ab 1. Juni;0;0;0;0;1
2.01.18.03;Frühester Nutzungstermin ab 15. Juni;2.01.18.03 Frühester Nutzungstermin ab 15. Juni;0;0;0;0;1
2.01.18.04;Frühester Nutzungstermin ab 1. Juli;2.01.18.04 Frühester Nutzungstermin ab 1. Juli;0;0;0;0;1
2.01.18.05;Frühester Nutzungstermin ab 15. Juli;2.01.18.05 Frühester Nutzungstermin ab 15. Juli;0;0;0;0;1
2.01.18.06;Frühester Nutzungstermin ab 1. August;2.01.18.06 Frühester Nutzungstermin ab 1. August;0;0;0;0;1
2.01.18.07;Frühester Nutzungstermin ab 1. September;2.01.18.07 Frühester Nutzungstermin ab 1. September;0;0;0;0;1
2.01.18.08 ;Wintermahd;2.01.18.08  Wintermahd;0;0;0;0;1
2.01.18.09;Keine Vorgabe zum frühesten Nutzungs-/Pflegetermin;2.01.18.09 Keine Vorgabe zum frühesten Nutzungs-/Pflegetermin;0;0;0;0;1
2.01.18.12;sonstige Vorgaben zum frühesten Nutzungstermin (bitte erläutern);2.01.18.12 sonstige Vorgaben zum frühesten Nutzungstermin (bitte erläutern);0;0;0;0;1
2.01.19.01;Keine N-Düngung;2.01.19.01 Keine N-Düngung;0;0;0;0;1
2.01.19.03;N-Düngung maximal in Höhe des Entzugs;2.01.19.03 N-Düngung maximal in Höhe des Entzugs;0;0;0;0;1
2.01.19.04;Keine Vorgabe zur N-Düngung;2.01.19.04 Keine Vorgabe zur N-Düngung;0;0;0;0;1
2.01.20.01;Keine Grunddüngung;2.01.20.01 Keine Grunddüngung;0;0;0;0;1
2.01.20.03;Grunddüngung maximal in Höhe des Entzugs;2.01.20.03 Grunddüngung maximal in Höhe des Entzugs;0;0;0;0;1
2.01.20.04;Keine Vorgabe zur Grunddüngung;2.01.20.04 Keine Vorgabe zur Grunddüngung;0;0;0;0;1
2.01.21.01;Keine Grünlandkalkung;2.01.21.01 Keine Grünlandkalkung;0;0;0;0;1
2.01.21.02;Vorgaben zur Grünlandkalkung (bitte erläutern);2.01.21.02 Vorgaben zur Grünlandkalkung (bitte erläutern);0;0;0;0;1
2.01.21.03;Keine Vorgabe zur Grünlandkalkung;2.01.21.03 Keine Vorgabe zur Grünlandkalkung;0;0;0;0;1
2.02.01;Gehölzpflanzung mit standortheimischen Arten;2.02.01 Gehölzpflanzung mit standortheimischen Arten;0;1;1;1;1
2.02.02;Gehölzpflanzung nur lückig bzw. in kleineren Bereichen;2.02.02 Gehölzpflanzung nur lückig bzw. in kleineren Bereichen;0;1;0;1;0
2.02.03;Einzelbaumpflanzung;2.02.03 Einzelbaumpflanzung;0;1;0;0;1
2.02.04;Gehölzpflege (Heckenschnitt, Kopfweiden, Obstbäume etc.);2.02.04 Gehölzpflege (Heckenschnitt, Kopfweiden, Obstbäume etc.);0;1;1;1;1
2.02.05;Gehölze in Anteilen unter 10% belassen;2.02.05 Gehölze in Anteilen unter 10% belassen;0;0;1;1;1
2.02.06;sonstige Maßnahmen zu Gehölzstrukturen (bitte erläutern);2.02.06 sonstige Maßnahmen zu Gehölzstrukturen (bitte erläutern);0;0;1;1;1
2.03.01.01;Mehrschichtigkeit aktiv erhalten;2.03.01.01 Mehrschichtigkeit aktiv erhalten;1;0;0;0;0
2.03.01.02;Mehrschichtigkeit verbessern/entwickeln;2.03.01.02 Mehrschichtigkeit verbessern/entwickeln;1;0;0;0;0
2.03.01.03;Vor-/Unterbau mit lebensraumtypischen Baumarten;2.03.01.03 Vor-/Unterbau mit lebensraumtypischen Baumarten;1;0;0;0;0
2.03.01.04;Lebensraumtyp kleinflächig verjüngen;2.03.01.04 Lebensraumtyp kleinflächig verjüngen;1;0;0;0;0
2.03.01.05;Plenterstruktur erhalten;2.03.01.05 Plenterstruktur erhalten;1;0;0;0;0
2.03.01.06;Plenterstruktur verbessern/entwickeln;2.03.01.06 Plenterstruktur verbessern/entwickeln;1;0;0;0;0
2.03.01.07;Auslichten dichter Gehölzbestände/Entfernung bestimmter Gehölze;2.03.01.07 Auslichten dichter Gehölzbestände/Entfernung bestimmter Gehölze;1;0;0;0;1
2.03.01.08;Anlage/Erhalt von Lichtungen und Freiflächen im Wald;2.03.01.08 Anlage/Erhalt von Lichtungen und Freiflächen im Wald;1;0;0;0;1
2.03.01.09;Mittelwaldartige Bewirtschaftung;2.03.01.09 Mittelwaldartige Bewirtschaftung;1;0;0;0;0
2.03.01.10;Niederwaldartige Bewirtschaftung;2.03.01.10 Niederwaldartige Bewirtschaftung;1;0;0;0;0
2.03.01.11;Anlage von Waldinnen- und Außenmänteln und –säumen;2.03.01.11 Anlage von Waldinnen- und Außenmänteln und –säumen;1;0;0;0;0
2.03.01.12;Erntenutzungszeitraum verlängern;2.03.01.12 Erntenutzungszeitraum verlängern;1;0;0;0;0
2.03.01.13;Fläche nicht bewirtschaften;2.03.01.13 Fläche nicht bewirtschaften;1;0;0;0;0
2.03.01.14;Außerregelmäßige Bewirtschaftung (a. r. B.);2.03.01.14 Außerregelmäßige Bewirtschaftung (a. r. B.);1;0;0;0;0
2.03.01.15;Belassen von Altholz ;2.03.01.15 Belassen von Altholz ;1;0;0;0;0
2.03.01.16;Sonstige Maßnahmen zugunsten der Waldstruktur (bitte erläutern);2.03.01.16 Sonstige Maßnahmen zugunsten der Waldstruktur (bitte erläutern);1;0;0;0;0
2.03.01.17;Maßnahmen zugunsten sonstiger Strukturmerkmale (bitte erläutern);2.03.01.17 Maßnahmen zugunsten sonstiger Strukturmerkmale (bitte erläutern);1;0;0;0;0
2.03.02.01;Starkes stehendes und liegendes Totholz belassen (mind. 3 Stück/ha);2.03.02.01 Starkes stehendes und liegendes Totholz belassen (mind. 3 Stück/ha);1;0;0;0;0
2.03.02.02;Starkes stehendes oder liegendes Totholz belassen (mind. 1 Stück/ha);2.03.02.02 Starkes stehendes oder liegendes Totholz belassen (mind. 1 Stück/ha);1;0;0;0;0
2.03.02.03;Starkes stehendes und liegendes Totholz anreichern (mind. 3 Stück/ha);2.03.02.03 Starkes stehendes und liegendes Totholz anreichern (mind. 3 Stück/ha);1;0;0;0;0
2.03.02.04;Starkes stehendes oder liegendes Totholz anreichern (mind. 1 Stück/ha);2.03.02.04 Starkes stehendes oder liegendes Totholz anreichern (mind. 1 Stück/ha);1;0;0;0;0
2.03.02.05;Belassen von Totholz/Baumstubben;2.03.02.05 Belassen von Totholz/Baumstubben;1;0;1;1;1
2.03.03.01;Biotopbäume belassen (mind. 12 Stück/ha, Artenschutz);2.03.03.01 Biotopbäume belassen (mind. 12 Stück/ha, Artenschutz);1;0;0;0;0
2.03.03.02;Biotopbäume belassen (mind. 6 Stück/ha);2.03.03.02 Biotopbäume belassen (mind. 6 Stück/ha);1;0;0;0;0
2.03.03.03;Biotopbäume belassen (mind. 3 Stück/ha);2.03.03.03 Biotopbäume belassen (mind. 3 Stück/ha);1;0;0;0;0
2.03.03.04;Biotopbäume anreichern (mind. 12 Stück/ha, Artenschutz);2.03.03.04 Biotopbäume anreichern (mind. 12 Stück/ha, Artenschutz);1;0;0;0;0
2.03.03.05;Biotopbäume anreichern (mind. 6 Stück/ha);2.03.03.05 Biotopbäume anreichern (mind. 6 Stück/ha);1;0;0;0;0
2.03.03.06;Biotopbäume anreichern (mind. 3 Stück/ha);2.03.03.06 Biotopbäume anreichern (mind. 3 Stück/ha);1;0;0;0;0
2.03.03.07;Belassen von Horst- und Höhlenbäumen;2.03.03.07 Belassen von Horst- und Höhlenbäumen;1;0;0;0;0
2.03.04.01;Anteil der lebensraumtypischen Hauptbaumarten aktiv erhalten (A-Status);2.03.04.01 Anteil der lebensraumtypischen Hauptbaumarten aktiv erhalten (A-Status);1;0;0;0;0
2.03.04.02;Anteil der lebensraumtypischen Hauptbaumarten aktiv erhalten (B-Status);2.03.04.02 Anteil der lebensraumtypischen Hauptbaumarten aktiv erhalten (B-Status);1;0;0;0;0
2.03.04.03;Anteil der lebensraumtypischen Nebenbaumarten aktiv erhalten (A-Status);2.03.04.03 Anteil der lebensraumtypischen Nebenbaumarten aktiv erhalten (A-Status);1;0;0;0;0
2.03.04.04;Anteil der lebensraumtypischen Nebenbaumarten aktiv erhalten (B-Status);2.03.04.04 Anteil der lebensraumtypischen Nebenbaumarten aktiv erhalten (B-Status);1;0;0;0;0
2.03.04.05;Anteil lebensraumtypischer Hauptbaumarten erhöhen;2.03.04.05 Anteil lebensraumtypischer Hauptbaumarten erhöhen;1;0;0;0;0
2.03.04.06;Anteil lebensraumtypischer Nebenbaumarten erhöhen;2.03.04.06 Anteil lebensraumtypischer Nebenbaumarten erhöhen;1;0;0;0;0
2.03.04.07;Naturverjüngung lebensraumtypischer Baumarten fördern;2.03.04.07 Naturverjüngung lebensraumtypischer Baumarten fördern;1;0;0;0;0
2.03.04.08;Lebensraumtyp durch Pflanzung oder Saat verjüngen;2.03.04.08 Lebensraumtyp durch Pflanzung oder Saat verjüngen;1;0;0;0;0
2.03.04.09;Gesellschaftsfremden Baumartenanteil bei Hiebsreife reduzieren;2.03.04.09 Gesellschaftsfremden Baumartenanteil bei Hiebsreife reduzieren;1;0;0;0;0
2.03.04.10;Gesellschaftsfremden Baumartenanteil vor der Hiebsreife reduzieren;2.03.04.10 Gesellschaftsfremden Baumartenanteil vor der Hiebsreife reduzieren;1;0;0;0;0
2.03.04.11;Verjüngung gesellschaftsfremder Gehölze reduzieren;2.03.04.11 Verjüngung gesellschaftsfremder Gehölze reduzieren;1;0;0;0;0
2.03.04.12;Sonstige Maßn. zugunsten des lebensraumtyp. Baumarteninventars (bitte erläutern);2.03.04.12 Sonstige Maßn. zugunsten des lebensraumtyp. Baumarteninventars (bitte erläutern);1;0;0;0;0
2.03.04.13;Förderung bestimmter Baumarten (bitte erläutern);2.03.04.13 Förderung bestimmter Baumarten (bitte erläutern);1;0;0;0;0
2.03.05.01;Untypische Dominanzen in der Bodenvegetation regulieren;2.03.05.01 Untypische Dominanzen in der Bodenvegetation regulieren;1;0;0;0;0
2.03.05.02;Sonstige Maßn. zugunsten der lebensraumtyp. Bodenvegetation (bitte erläutern);2.03.05.02 Sonstige Maßn. zugunsten der lebensraumtyp. Bodenvegetation (bitte erläutern);1;0;0;0;0
2.03.06.01;Keine Befahrung;2.03.06.01 Keine Befahrung;1;0;0;0;0
2.03.06.02;Befahrung nur auf permanenten Rückegassen;2.03.06.02 Befahrung nur auf permanenten Rückegassen;1;0;0;0;0
2.03.06.03;Befahrung nur in Trockenperioden oder bei Dauerfrost;2.03.06.03 Befahrung nur in Trockenperioden oder bei Dauerfrost;1;0;0;0;0
2.03.06.04;Bodenschonende Rückeverfahren anwenden;2.03.06.04 Bodenschonende Rückeverfahren anwenden;1;0;0;0;0
2.03.06.05;Holz mit Seilkran rücken;2.03.06.05 Holz mit Seilkran rücken;1;0;0;0;0
2.03.06.06;Torfabbau/Materialentnahme einstellen;2.03.06.06 Torfabbau/Materialentnahme einstellen;1;0;1;0;1
2.03.06.07;Sonstige Maßnahmen zugunsten der Bodenstruktur (bitte erläutern);2.03.06.07 Sonstige Maßnahmen zugunsten der Bodenstruktur (bitte erläutern);1;0;0;0;0
2.03.07.01;Eutrophierung reduzieren/einstellen;2.03.07.01 Eutrophierung reduzieren/einstellen;1;0;0;0;0
2.03.07.02;Auf Kalkung verzichten;2.03.07.02 Auf Kalkung verzichten;1;0;0;0;0
2.03.07.03;Kompensationskalkung durchführen;2.03.07.03 Kompensationskalkung durchführen;1;0;0;0;0
2.03.07.04;Organische Ablagerungen beseitigen;2.03.07.04 Organische Ablagerungen beseitigen;1;0;0;0;0
2.03.07.05;Müll/anorganische Ablagerungen beseitigen;2.03.07.05 Müll/anorganische Ablagerungen beseitigen;1;0;0;0;0
2.03.07.06;Schadstoffimmission reduzieren;2.03.07.06 Schadstoffimmission reduzieren;1;0;0;0;0
2.03.07.07;Sonstige Maßnahmen zugunsten des Stoffhaushaltes (bitte erläutern);2.03.07.07 Sonstige Maßnahmen zugunsten des Stoffhaushaltes (bitte erläutern);1;0;0;0;0
2.03.08.01;Entwässerungsgräben nicht wieder instand setzen;2.03.08.01 Entwässerungsgräben nicht wieder instand setzen;1;0;0;0;1
2.03.08.02;Entwässerungsgräben schließen;2.03.08.02 Entwässerungsgräben schließen;1;0;0;0;1
2.03.08.03;(Wieder-)Vernässung zulassen;2.03.08.03 (Wieder-)Vernässung zulassen;1;0;0;0;1
2.03.08.04;Lebensraumuntypische Vernässung reduzieren/einstellen;2.03.08.04 Lebensraumuntypische Vernässung reduzieren/einstellen;1;0;0;0;1
2.03.08.05;Maßnahmen in der hydrologischen Schutzzone;2.03.08.05 Maßnahmen in der hydrologischen Schutzzone;1;0;0;0;1
2.03.08.06;Sonstige Maßnahmen zugunsten des Wasserhaushaltes (bitte erläutern);2.03.08.06 Sonstige Maßnahmen zugunsten des Wasserhaushaltes (bitte erläutern);1;0;0;0;1
2.03.08.07;aktuell keine Maßnahmen zugunsten des Wasserhaushaltes erforderlich;2.03.08.07 aktuell keine Maßnahmen zugunsten des Wasserhaushaltes erforderlich;0;0;0;0;1
2.03.08.08;hydrologisches Gutachten erforderlich;2.03.08.08 hydrologisches Gutachten erforderlich;1;0;1;0;1
2.03.09.01;Verbissbelastung reduzieren;2.03.09.01 Verbissbelastung reduzieren;1;0;0;0;0
2.03.09.02;Schälschäden reduzieren;2.03.09.02 Schälschäden reduzieren;1;0;0;0;0
2.03.09.03;Zäunung zum Schutz der Verjüngung;2.03.09.03 Zäunung zum Schutz der Verjüngung;1;0;0;0;0
2.03.09.04;Sonstige Maßnahmen zur Verringerung/Beseitigung von Schäden an der Vegetationsstruktur (bitte erläutern);2.03.09.04 Sonstige Maßnahmen zur Verringerung/Beseitigung von Schäden an der Vegetationsstruktur (bitte erläutern);1;0;0;0;0
2.03.10.01;Lärmimmission reduzieren;2.03.10.01 Lärmimmission reduzieren;1;0;0;0;0
2.03.10.02;Erholungsnutzung einschränken/einstellen;2.03.10.02 Erholungsnutzung einschränken/einstellen;1;0;0;0;0
2.03.10.03;Rückbau von Wegen;2.03.10.03 Rückbau von Wegen;1;0;0;0;0
2.03.10.04;Sonstige Maßnahmen zur Verringerung/Beseitigung von Störungen (bitte erläutern);2.03.10.04 Sonstige Maßnahmen zur Verringerung/Beseitigung von Störungen (bitte erläutern);1;0;0;0;0
2.03.11;Rodung/Umwandlung von Wald in eine andere Nutzungsart;2.03.11 Rodung/Umwandlung von Wald in eine andere Nutzungsart;1;0;0;0;1
2.03.12;Entwicklung zusätzlicher LRT-Flächen (bitte erläutern);2.03.12 Entwicklung zusätzlicher LRT-Flächen (bitte erläutern);1;0;0;0;0
2.03.13;naturnahe Waldbewirtschaftung/Walderhaltung;2.03.13 naturnahe Waldbewirtschaftung/Walderhaltung;1;0;0;0;0
2.03.14;besondere Aufmerksamkeit, um seltenen A-Zustand zu erhalten - erhöhte Anforderungen berücksichtigen;2.03.14 besondere Aufmerksamkeit, um seltenen A-Zustand zu erhalten - erhöhte Anforderungen berücksichtigen;1;0;0;0;0
2.03.15;besondere Aufmerksamkeit, damit sich der ungünstige Zustand nicht noch weiter verschlechtert - ein günstiger Zustand soll möglichst hergestellt werden;2.03.15 besondere Aufmerksamkeit, damit sich der ungünstige Zustand nicht noch weiter verschlechtert - ein günstiger Zustand soll möglichst hergestellt werden;1;0;0;0;0
2.04.01;Schonung/Förderung der Wildfischbestände;2.04.01 Schonung/Förderung der Wildfischbestände;0;0;1;0;0
2.04.02;Anlage von Fischschonbezirken ;2.04.02 Anlage von Fischschonbezirken ;0;0;1;1;0
2.04.03;Traditionelle Bewirtschaftung als Fischteich;2.04.03 Traditionelle Bewirtschaftung als Fischteich;0;0;1;0;0
2.04.04;Wasserstandsregulierung;2.04.04 Wasserstandsregulierung;0;0;1;0;1
2.04.05;Trockenlegung im Winter;2.04.05 Trockenlegung im Winter;0;0;1;0;0
